stock_id,date,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2330,2012-01-02,14945219,1121673328,75.0,75.4,74.7,75.0,-0.8,3402
2330,2012-01-03,21223640,1605206995,75.5,75.9,75.2,75.7,0.7,5659
2330,2012-01-04,34126472,2584467506,76.1,76.1,75.5,75.8,0.1,7311
2330,2012-01-05,28076670,2126987204,76.0,76.0,75.3,76.0,0.2,7053
2330,2012-01-06,30123118,2269477313,75.9,75.9,74.9,75.6,-0.4,7701
2330,2012-01-09,27655856,2074522035,75.2,75.6,74.6,75.6,0.0,5106
2330,2012-01-10,62064369,4729115971,76.0,76.5,75.8,76.5,0.9,14505
2330,2012-01-11,44295291,3388935115,76.8,77.0,76.1,76.5,0.0,9749
2330,2012-01-12,55520616,4267531914,76.7,77.1,76.5,77.0,0.5,14357
2330,2012-01-13,57757708,4483256615,77.2,78.0,77.0,77.5,0.5,15399
2330,2012-01-16,37711367,2844327425,76.1,76.9,74.6,75.3,-2.2,10092
2330,2012-01-17,43995131,3316458851,75.9,75.9,74.9,75.6,0.3,9194
2330,2012-01-18,57181592,4356043463,75.9,76.7,75.6,76.7,1.1,13544
2330,2012-01-30,147548010,11573235542,78.0,79.5,77.2,78.7,2.0,22750
2330,2012-01-31,87917010,6835437530,78.1,78.5,76.3,78.5,-0.2,12126
2330,2012-02-01,47222153,3635636754,77.5,77.7,76.7,77.0,-1.5,11945
2330,2012-02-02,54065648,4139408266,77.5,77.5,76.1,76.8,-0.2,13604
2330,2012-02-03,49361665,3748745031,76.3,76.4,75.6,76.2,-0.6,12987
2330,2012-02-04,22960601,1751843427,76.4,76.7,76.0,76.5,0.3,6273
2330,2012-02-06,47596035,3677167919,77.3,77.5,76.6,77.4,0.9,12277
2330,2012-02-07,30008591,2317938563,77.5,77.5,76.8,77.4,0.0,6097
2330,2012-02-08,35600596,2750530815,77.5,77.5,76.9,77.5,0.1,9080
2330,2012-02-09,70988148,5478463961,77.0,78.0,76.5,78.0,0.5,13075
2330,2012-02-10,47270213,3664264682,78.0,78.0,76.7,76.9,-1.1,10331
2330,2012-02-13,36415470,2786463230,76.4,77.1,76.2,76.6,-0.3,9645
2330,2012-02-14,42110292,3233673684,77.1,77.4,76.2,77.3,0.7,9112
2330,2012-02-15,71500425,5588585195,77.6,78.5,77.6,78.5,1.2,15396
2330,2012-02-16,59907015,4698031555,78.5,78.9,78.0,78.5,0.0,11614
2330,2012-02-17,78979635,6309497471,79.5,81.1,79.4,80.0,1.5,14200
2330,2012-02-20,31810729,2546630759,80.6,80.8,79.7,80.0,0.0,6826
2330,2012-02-21,28138010,2246058190,80.0,80.0,79.3,80.0,0.0,7394
2330,2012-02-22,41142793,3272417484,79.9,80.0,79.0,79.7,-0.3,9208
2330,2012-02-23,59975057,4682232446,79.0,79.4,77.7,78.1,-1.6,14125
2330,2012-02-24,41026074,3210715319,77.5,79.1,77.2,79.1,1.0,8549
2330,2012-02-29,78339188,6287743759,80.2,81.1,79.4,81.1,2.0,18172
2330,2012-03-01,21239827,1710833901,81.0,81.0,80.1,80.1,-1.0,6032
2330,2012-03-02,23912512,1903984572,80.0,80.1,79.2,80.0,-0.1,7219
2330,2012-03-03,7341542,582164539,79.1,79.6,79.1,79.3,-0.7,2856
2330,2012-03-05,22825263,1800269666,78.7,79.6,78.5,78.9,-0.4,7120
2330,2012-03-06,27779665,2190390269,79.6,79.6,78.3,79.5,0.6,6610
2330,2012-03-07,30335373,2397735943,79.0,79.3,78.7,79.1,-0.4,7673
2330,2012-03-08,36967094,2946734735,79.8,80.2,79.2,79.7,0.6,8363
2330,2012-03-09,22731319,1808011258,79.5,80.0,78.8,80.0,0.3,5725
2330,2012-03-12,28952164,2324706990,80.2,80.5,79.6,80.0,0.0,9433
2330,2012-03-13,48137168,3890801446,80.6,81.3,80.1,81.3,1.3,13492
2330,2012-03-14,63309967,5249393947,82.4,83.2,82.0,83.2,1.9,19676
2330,2012-03-15,30609333,2539385308,83.2,83.2,82.5,83.2,0.0,8083
2330,2012-03-16,29210462,2408154058,83.2,83.8,81.1,81.1,-2.1,7247
2330,2012-03-19,37508089,3122020988,83.7,84.2,82.4,83.7,2.6,9547
2330,2012-03-20,30105892,2514856356,84.0,84.1,82.8,83.2,-0.5,10460
2330,2012-03-21,76183506,6457880070,84.8,85.2,83.8,84.9,1.7,15662
2330,2012-03-22,38057031,3237513284,85.0,85.7,84.3,85.2,0.3,11767
